jobid,emailid,business_unit_id,fromname,fromemail,schedtime,pickuptime,deliveredtime,eventid,ismultipart,jobtype,jobstatus,modifiedby,modifieddate,emailname,emailsubject,iswrapped,category,bccemail,createddate,ipaddress,salesforcetotalsubscribercount,salesforceerrorsubscribercount,sendtype,dynamicemailsubject,suppresstracking,sendclassificationtype,sendclassification,resolvelinkswithcurrentdata,emailsenddefinition,deduplicatebyemail,triggerersenddefinitionobjectid,triggeredsendcustomerkey,datekey,hour
4222,704,100028400,Quicken Loans,QuickenLoans@e.QuickenLoans.com,2020-04-20 09:17:00.0,2020-04-20 09:18:00.0,2020-04-20 09:18:00.0,,true,,New,0,2020-04-20 09:17:37.98,Purchase_Withdrawn_01_Challenger,"[Test]:%%=Lookup('ENT.MCO_NS_Email_DefaultVars', 'SUBJECT', 'ID', '481')=%%                                                                                                                             ",true,Test Send Emails,,2020-04-20 09:17:00.0,,0,0,ExactTargetSend,,true,Default Commercial,QLMRP,false,,false,,,2020-04-20,10
4223,251,100028400,Quicken Loans,QuickenLoans@e.QuickenLoans.com,2020-04-20 10:02:00.0,2020-04-20 10:03:00.0,2020-04-20 10:03:00.0,,true,MULTIPLE_SEND,New,0,2020-04-20 10:02:57.087,Auto_Folder_Followup,"%%=Lookup('ENT.MCO_NS_Email_DefaultVars', 'SUBJECT', 'ID', '471')=%%                                                                                                                                    ",true,my tracking,,2020-04-20 10:02:00.0,,0,0,ExactTargetSend,,false,Default Commercial,QLMRP,false,10017,true,,,2020-04-20,10
4224,405,100028400,Quicken Loans,QuickenLoans@e.QuickenLoans.com,2020-04-20 10:16:00.0,2020-04-20 10:17:00.0,2020-04-20 10:17:00.0,,true,MULTIPLE_SEND,New,0,2020-04-20 10:16:42.66,Auto_Purchase_LoanEstimate_FollowUp,"%%[ var @SUBJECT SET @SUBJECT = Replace(Lookup('ENT.MCO_NS_Email_DefaultVars', 'SUBJECT', 'ID', '473'), 'FIRSTNAME', CLIENTFIRSTNAME) ]%%%%=v(@SUBJECT)=%%                                              ",true,my tracking,,2020-04-20 10:16:00.0,,0,0,ExactTargetSend,,false,Default Commercial,QLMRP,false,10028,true,,,2020-04-20,11
4234,637,100028400,,QuickenLoans@e.QuickenLoans.com,2020-04-20 10:45:00.0,2020-04-20 10:46:00.0,,,true,,New,0,2020-04-20 10:45:43.557,ELCS_Purch_AL_FollowUp_01,"%%=Lookup('ENT.MCO_NS_Email_DefaultVars', 'SUBJECT', 'ID', '194')=%%                                                                                                                                    ",true,6c07d790-c48a-4b40-a5e4-4b78c1fde8d6_V2,,2020-04-20 10:45:00.0,,0,0,ExactTargetSend,,false,Default Commercial,BP,false,,false,1F509943-2683-EA11-A2EB-1402EC8CA195,1167,2020-04-20,11
4235,638,100028400,,QuickenLoans@e.QuickenLoans.com,2020-04-20 10:45:00.0,2020-04-20 10:46:00.0,,,true,,New,0,2020-04-20 10:45:43.557,ELCS_Purch_AL_FollowUp_02,"%%=Lookup('ENT.MCO_NS_Email_DefaultVars', 'SUBJECT', 'ID', '166')=%%                                                                                                                                    ",true,6c07d790-c48a-4b40-a5e4-4b78c1fde8d6_V2,,2020-04-20 10:45:00.0,,0,0,ExactTargetSend,,false,Default Commercial,BP,false,,false,30509943-2683-EA11-A2EB-1402EC8CA195,1168,2020-04-20,11
4236,680,100028400,Quicken Loans,QuickenLoans@e.QuickenLoans.com,2020-04-20 10:45:00.0,2020-04-20 10:46:00.0,,,true,,New,0,2020-04-20 10:45:43.557,ELCS_Purch_AL_FollowUp_03_RH,"%%=ContentBlockbyKey(""ELCS_Purch_AL_FU_Email3_RH_subject"")=%%                                                                                                                                           ",true,6c07d790-c48a-4b40-a5e4-4b78c1fde8d6_V2,,2020-04-20 10:45:00.0,,0,0,ExactTargetSend,,false,Default Commercial,128,false,,false,36509943-2683-EA11-A2EB-1402EC8CA195,1169,2020-04-20,11
4237,643,100028400,,QuickenLoans@e.QuickenLoans.com,2020-04-20 10:45:00.0,2020-04-20 10:46:00.0,,,true,,New,0,2020-04-20 10:45:43.557,ELCS_Purch_AL_FollowUp_03,"%%=Lookup('ENT.MCO_NS_Email_DefaultVars', 'SUBJECT', 'ID', '167')=%%                                                                                                                                    ",true,6c07d790-c48a-4b40-a5e4-4b78c1fde8d6_V2,,2020-04-20 10:45:00.0,,0,0,ExactTargetSend,,false,Default Commercial,BP,false,,false,38509943-2683-EA11-A2EB-1402EC8CA195,1170,2020-04-20,11
4238,639,100028400,,QuickenLoans@e.QuickenLoans.com,2020-04-20 10:45:00.0,2020-04-20 10:46:00.0,,,true,,New,0,2020-04-20 10:45:43.557,ELCS_Purch_AL_FollowUp_04,"%%=Lookup('ENT.MCO_NS_Email_DefaultVars', 'SUBJECT', 'ID', '168')=%%                                                                                                                                    ",true,6c07d790-c48a-4b40-a5e4-4b78c1fde8d6_V2,,2020-04-20 10:45:00.0,,0,0,ExactTargetSend,,false,Default Commercial,BP,false,,false,3F509943-2683-EA11-A2EB-1402EC8CA195,1171,2020-04-20,11
4239,655,100028400,,QuickenLoans@e.QuickenLoans.com,2020-04-20 10:45:00.0,2020-04-20 10:46:00.0,,,true,,New,0,2020-04-20 10:45:43.617,ELCS_Purch_AL_FollowUp_05_UploadDocs,"%%=Lookup('ENT.MCO_NS_Email_DefaultVars', 'SUBJECT', 'ID', '489')=%%                                                                                                                                    ",true,6c07d790-c48a-4b40-a5e4-4b78c1fde8d6_V2,,2020-04-20 10:45:00.0,,0,0,ExactTargetSend,,false,Default Commercial,BP,false,,false,49509943-2683-EA11-A2EB-1402EC8CA195,1172,2020-04-20,11
4240,647,100028400,,QuickenLoans@e.QuickenLoans.com,2020-04-20 10:45:00.0,2020-04-20 10:46:00.0,,,true,,New,0,2020-04-20 10:45:43.617,ELCS_Purch_AL_FollowUp_05,"%%=Lookup('ENT.MCO_NS_Email_DefaultVars', 'SUBJECT', 'ID', '169')=%%                                                                                                                                    ",true,6c07d790-c48a-4b40-a5e4-4b78c1fde8d6_V2,,2020-04-20 10:45:00.0,,0,0,ExactTargetSend,,false,Default Commercial,BP,false,,false,3EA4A449-2683-EA11-A2EB-1402EC8CA195,1173,2020-04-20,11
4241,653,100028400,,QuickenLoans@e.QuickenLoans.com,2020-04-20 10:45:00.0,2020-04-20 10:46:00.0,,,true,,New,0,2020-04-20 10:45:43.617,ELCS_Purch_AL_FollowUp_06_SSA,"%%=ContentBlockbyKey(""ELCS_Purch_AL_FU_E6_SSA_subject"")=%%                                                                                                                                              ",true,6c07d790-c48a-4b40-a5e4-4b78c1fde8d6_V2,,2020-04-20 10:45:00.0,,0,0,ExactTargetSend,,false,Default Commercial,BP,false,,false,43A4A449-2683-EA11-A2EB-1402EC8CA195,1174,2020-04-20,11
4242,640,100028400,,QuickenLoans@e.QuickenLoans.com,2020-04-20 10:45:00.0,2020-04-20 10:46:00.0,,,true,,New,0,2020-04-20 10:45:43.663,ELCS_Purch_AL_FollowUp_06,"%%=Lookup('ENT.MCO_NS_Email_DefaultVars', 'SUBJECT', 'ID', '193')=%%                                                                                                                                    ",true,6c07d790-c48a-4b40-a5e4-4b78c1fde8d6_V2,,2020-04-20 10:45:00.0,,0,0,ExactTargetSend,,false,Default Commercial,BP,false,,false,45A4A449-2683-EA11-A2EB-1402EC8CA195,1175,2020-04-20,11
